arquivo_ll,otimizacao,dec_bytes,arquivo_o
extr_benchmark-procfile-parser.c_pflines_reset.ll,O3,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_benchmark-procfile-parser.c_pflines_reset.ll/O3.o
extr_..pci.h_pci_ats_enabled.ll,O3,24,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_..pci.h_pci_ats_enabled.ll/O3.o
extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll,O3,722,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll/O3.o
extr_charmap.c_add_charmap.ll,O3,42,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_charmap.c_add_charmap.ll/O3.o
extr_encode.c_EVP_ENCODE_CTX_num.ll,Os,28,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_encode.c_EVP_ENCODE_CTX_num.ll/Os.o
extr_synclink_gt.c_free_dma_bufs.ll,Os,152,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_synclink_gt.c_free_dma_bufs.ll/Os.o
extr_benchmark-procfile-parser.c_pflines_reset.ll,Os,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_benchmark-procfile-parser.c_pflines_reset.ll/Os.o
extr_..pci.h_pci_ats_enabled.ll,Os,24,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_..pci.h_pci_ats_enabled.ll/Os.o
extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll,Os,722,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll/Os.o
extr_charmap.c_add_charmap.ll,Os,42,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_charmap.c_add_charmap.ll/Os.o
extr_encode.c_EVP_ENCODE_CTX_num.ll,Oz,28,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_encode.c_EVP_ENCODE_CTX_num.ll/Oz.o
extr_synclink_gt.c_free_dma_bufs.ll,Oz,152,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_synclink_gt.c_free_dma_bufs.ll/Oz.o
extr_benchmark-procfile-parser.c_pflines_reset.ll,Oz,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_benchmark-procfile-parser.c_pflines_reset.ll/Oz.o
extr_..pci.h_pci_ats_enabled.ll,Oz,24,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_..pci.h_pci_ats_enabled.ll/Oz.o
extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll,Oz,722,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_dcn20_clk_mgr.c_dentist_get_did_from_divider.ll/Oz.o
extr_charmap.c_add_charmap.ll,Oz,42,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_charmap.c_add_charmap.ll/Oz.o
extr_raid5-log.h_log_write_stripe_run.ll,O1,140,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_raid5-log.h_log_write_stripe_run.ll/O1.o
extr_nvc0.c_nvc0_graph_ctxctl_debug.ll,O1,202,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_nvc0.c_nvc0_graph_ctxctl_debug.ll/O1.o
extr_onenand_base.c_onenand_block_isbad.ll,O1,102,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_onenand_base.c_onenand_block_isbad.ll/O1.o
extr_ti_sdhci.c_WR4.ll,O1,140,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ti_sdhci.c_WR4.ll/O1.o
extr_parser.c_cp_block_requires_copying.ll,O1,160,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_parser.c_cp_block_requires_copying.ll/O1.o
extr_prereleasestb_lib.h_stb__from_utf8.ll,O1,118,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_prereleasestb_lib.h_stb__from_utf8.ll/O1.o
extr_raid5-log.h_log_write_stripe_run.ll,O2,140,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_raid5-log.h_log_write_stripe_run.ll/O2.o
extr_nvc0.c_nvc0_graph_ctxctl_debug.ll,O2,202,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_nvc0.c_nvc0_graph_ctxctl_debug.ll/O2.o
extr_onenand_base.c_onenand_block_isbad.ll,O2,102,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_onenand_base.c_onenand_block_isbad.ll/O2.o
extr_ti_sdhci.c_WR4.ll,O2,140,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ti_sdhci.c_WR4.ll/O2.o
extr_prereleasestb_lib.h_stb__from_utf8.ll,O2,118,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_prereleasestb_lib.h_stb__from_utf8.ll/O2.o
extr_parser.c_cp_block_requires_copying.ll,O2,160,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_parser.c_cp_block_requires_copying.ll/O2.o
extr_raid5-log.h_log_write_stripe_run.ll,O3,140,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_raid5-log.h_log_write_stripe_run.ll/O3.o
extr_onenand_base.c_onenand_block_isbad.ll,O3,102,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_onenand_base.c_onenand_block_isbad.ll/O3.o
extr_nvc0.c_nvc0_graph_ctxctl_debug.ll,O3,202,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_nvc0.c_nvc0_graph_ctxctl_debug.ll/O3.o
extr_ti_sdhci.c_WR4.ll,O3,140,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ti_sdhci.c_WR4.ll/O3.o
extr_prereleasestb_lib.h_stb__from_utf8.ll,O3,118,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_prereleasestb_lib.h_stb__from_utf8.ll/O3.o
extr_parser.c_cp_block_requires_copying.ll,O3,160,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_parser.c_cp_block_requires_copying.ll/O3.o
